"id";"level";"dump_id";"detect_time";"updated_at";"device_id";"access_point_id";"short_event_id";"created_at"
"1 meter"
35769081;54;41593;"2014-03-17 16:33:06";"2014-03-17 17:14:55.141854";1821;17;7011459;"2014-03-17 17:13:12.527768"
35769082;53;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.144246";1821;17;7011459;"2014-03-17 17:13:12.529374"
35769084;53;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.149249";1821;17;7011459;"2014-03-17 17:13:12.532362"
35769085;53;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.153085";1821;17;7011459;"2014-03-17 17:13:12.53389"
35769086;55;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.156334";1821;17;7011459;"2014-03-17 17:13:12.535546"
35769087;55;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.159347";1821;17;7011459;"2014-03-17 17:13:12.537431"
35769088;71;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.162426";1821;17;7011459;"2014-03-17 17:13:12.539208"
35769083;53;41593;"2014-03-17 16:33:09";"2014-03-17 17:14:55.146568";1821;17;7011459;"2014-03-17 17:13:12.531068"
35769091;53;41593;"2014-03-17 16:33:11";"2014-03-17 17:14:55.170693";1821;17;7011459;"2014-03-17 17:13:12.544959"
35769089;53;41593;"2014-03-17 16:33:11";"2014-03-17 17:14:55.165512";1821;17;7011459;"2014-03-17 17:13:12.540795"
35769090;54;41593;"2014-03-17 16:33:11";"2014-03-17 17:14:55.168165";1821;17;7011459;"2014-03-17 17:13:12.542448"
35769093;72;41593;"2014-03-17 16:33:12";"2014-03-17 17:14:55.175426";1821;17;7011459;"2014-03-17 17:13:12.548159"
35769092;52;41593;"2014-03-17 16:33:12";"2014-03-17 17:14:55.172995";1821;17;7011459;"2014-03-17 17:13:12.546733"
35769094;54;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.177948";1821;17;7011459;"2014-03-17 17:13:12.549678"
35769099;73;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.191322";1821;17;7011459;"2014-03-17 17:13:12.558568"
35769098;72;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.188877";1821;17;7011459;"2014-03-17 17:13:12.556859"
35769097;53;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.186253";1821;17;7011459;"2014-03-17 17:13:12.555015"
35769096;53;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.183854";1821;17;7011459;"2014-03-17 17:13:12.55332"
35769095;54;41593;"2014-03-17 16:33:14";"2014-03-17 17:14:55.1811";1821;17;7011459;"2014-03-17 17:13:12.551314"
35769105;93;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.205256";1821;17;7011459;"2014-03-17 17:13:12.569662"
35769100;54;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.193504";1821;17;7011459;"2014-03-17 17:13:12.560222"
35769101;53;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.195728";1821;17;7011459;"2014-03-17 17:13:12.561814"
35769102;53;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.198078";1821;17;7011459;"2014-03-17 17:13:12.563656"
35769103;53;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.200575";1821;17;7011459;"2014-03-17 17:13:12.565641"
35769104;72;41593;"2014-03-17 16:33:16";"2014-03-17 17:14:55.20294";1821;17;7011459;"2014-03-17 17:13:12.567534"
35769107;54;41593;"2014-03-17 16:33:18";"2014-03-17 17:14:55.21042";1821;17;7011459;"2014-03-17 17:13:12.573054"
35769106;53;41593;"2014-03-17 16:33:18";"2014-03-17 17:14:55.207864";1821;17;7011459;"2014-03-17 17:13:12.571391"
35769109;54;41593;"2014-03-17 16:33:19";"2014-03-17 17:14:55.215414";1821;17;7011459;"2014-03-17 17:13:12.576155"
35769108;53;41593;"2014-03-17 16:33:19";"2014-03-17 17:14:55.212819";1821;17;7011459;"2014-03-17 17:13:12.574623"
35769110;72;41593;"2014-03-17 16:33:19";"2014-03-17 17:14:55.218035";1821;17;7011459;"2014-03-17 17:13:12.57792"
35769116;71;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.232895";1821;17;7011459;"2014-03-17 17:13:12.588427"
35769112;54;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.22275";1821;17;7011459;"2014-03-17 17:13:12.581005"
35769113;53;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.225156";1821;17;7011459;"2014-03-17 17:13:12.582535"
35769114;53;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.227764";1821;17;7011459;"2014-03-17 17:13:12.584917"
35769115;73;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.230449";1821;17;7011459;"2014-03-17 17:13:12.58649"
35769111;53;41593;"2014-03-17 16:33:21";"2014-03-17 17:14:55.220469";1821;17;7011459;"2014-03-17 17:13:12.579502"
